objectID,date,old_date,unconverted_date,weekday,unixtimestamp,batch,noinbatch,contents,sender,senderimgurl,textimgurl,notes
9979452,8/30/2016 4:10,8/30/2016 4:10,8/30/2016 9:10,Tuesday,1472530205,Ron Johnson,4056,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979451,8/30/2016 4:16,8/30/2016 4:16,8/30/2016 9:16,Tuesday,1472530567,Ron Johnson,4057,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979450,8/30/2016 4:20,8/30/2016 4:20,8/30/2016 9:20,Tuesday,1472530830,Ron Johnson,4058,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979449,8/30/2016 4:44,8/30/2016 4:44,8/30/2016 9:44,Tuesday,1472532290,Ron Johnson,4059,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979448,8/30/2016 4:45,8/30/2016 4:45,8/30/2016 9:45,Tuesday,1472532320,Ron Johnson,4060,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979447,8/30/2016 4:45,8/30/2016 4:45,8/30/2016 9:45,Tuesday,1472532344,Ron Johnson,4061,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979446,8/30/2016 4:46,8/30/2016 4:46,8/30/2016 9:46,Tuesday,1472532389,Ron Johnson,4062,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979445,8/30/2016 4:51,8/30/2016 4:51,8/30/2016 9:51,Tuesday,1472532715,Ron Johnson,4063,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979443,8/30/2016 6:10,8/30/2016 6:10,8/30/2016 11:10,Tuesday,1472537410,Ron Johnson,4064,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979442,8/30/2016 6:13,8/30/2016 6:13,8/30/2016 11:13,Tuesday,1472537636,Ron Johnson,4065,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
9979441,8/30/2016 6:28,8/30/2016 6:28,8/30/2016 11:28,Tuesday,1472538530,Ron Johnson,4066,null,?,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152473/Placeholder_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537150092/text_placeholder.png,null
